pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,Bisasam,フシギダネ (Fushigidane),1,0,0,0,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,Bisaknosp,フシギソウ (Fushigisou),1,0,0,0,Seed Pokémon,2,Grass,Poison,1.0,13.0,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,Bisaflor,フシギバナ (Fushigibana),1,0,0,0,Seed Pokémon,2,Grass,Poison,2.0,100.0,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,Glumanda,ヒトカゲ (Hitokage),1,0,0,0,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,Glutexo,リザード (Lizardo),1,0,0,0,Flame Pokémon,1,Fire,,1.1,19.0,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,Glurak,リザードン (Lizardon),1,0,0,0,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,70,240,Medium Slow,2,Dragon,Monster,87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,Schiggy,ゼニガメ (Zenigame),1,0,0,0,Tiny Turtle Pokémon,1,Water,,0.5,9.0,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,Schillok,カメール (Kameil),1,0,0,0,Turtle Pokémon,1,Water,,1.0,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,Turtok,カメックス (Kamex),1,0,0,0,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,Raupy,キャタピー (Caterpie),1,0,0,0,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,39,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,Safcon,トランセル (Transel),1,0,0,0,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,70,72,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
12,Butterfree,Smettbo,バタフリー (Butterfree),1,0,0,0,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,178,Medium Fast,1,Bug,,50.0,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
13,Weedle,Hornliu,ビードル (Beedle),1,0,0,0,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,39,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
